																		
NO	AC	FLIGHT N0	ROUTE	STD	STA	BLOCK	TAT	FREQ	FROM	TO								
1	1-A320	VJ206	SGN-TBB	6:05	7:15	1:10	0:25	246	31/Mar	26/Oct								
1	1-A320	VJ207	TBB-SGN	7:40	8:50	1:10	0:30	246	31/Mar	26/Oct								
1	1-A320	VJ396	SGN-PXU	6:15	7:25	1:10	0:25	1357	31/Mar	26/Oct								
1	1-A320	VJ397	PXU-SGN	7:50	9:00	1:10	0:30	1357	31/Mar	26/Oct								
1	1-A320	VJ1126	SGN-HAN	9:30	11:40	2:10	0:30	15	31/Mar	26/Oct								
1	1-A320	VJ1523	HAN-DAD	12:10	13:30	1:20	0:25	15	31/Mar	26/Oct								
1	1-A320	VJ1536	DAD-HAN	13:55	15:15	1:20	0:30	15	31/Mar	26/Oct								
1	1-A320	VJ1151	HAN-SGN	15:45	17:55	2:10	0:30	15	31/Mar	26/Oct								
1	1-A320	VJ128	SGN-HAN	9:30	11:40	2:10	0:30	23467	31/Mar	26/Oct								
1	1-A320	VJ133	HAN-SGN	12:10	14:20	2:10	0:40	23467	31/Mar	26/Oct								
1	1-A320	VJ142	SGN-HAN	15:00	17:10	2:10	0:30	23467	31/Mar	26/Oct								
1	1-A320	VJ151	HAN-SGN	17:40	19:50	2:10	0:30	23467	31/Mar	26/Oct								
1	1-A320	VJ312	SGN-HUI	20:20	21:45	1:25	0:25	1234567	31/Mar	26/Oct								
1	1-A320	VJ313	HUI-SGN	22:10	23:35	1:25	0:30	1234567	31/Mar	26/Oct								
NEW	1-A320	VJ1318	SGN-HUI	0:05	1:30	1:25	0:25	1234567	10/Jun	26/Oct								
NEW	1-A320	VJ1319	HUI-SGN	1:55	3:20	1:25	2:45	1234567	10/Jun	26/Oct								
																		
																		
2	2-A320	VJ1126	SGN-HAN	5:25	7:35	2:10	0:30	37	31/Mar	26/Oct								
2	2-A320	VJ1403	HAN-DLI	8:05	9:55	1:50	0:25	37	31/Mar	26/Oct								
2	2-A320	VJ1404	DLI-HAN	10:20	12:10	1:50	0:30	37	31/Mar	26/Oct								
2	2-A320	VJ1151	HAN-SGN	12:40	14:50	2:10	0:30	37	31/Mar	26/Oct								
2	2-A320	VJ198	SGN-HAN	5:25	7:35	2:10	0:30	12456	31/Mar	26/Oct								
2	2-A320	VJ125	HAN-SGN	8:05	10:15	2:10	0:30	12456	31/Mar	26/Oct								
2	2-A320	VJ132	SGN-HAN	10:45	12:55	2:10	0:30	12456	31/Mar	26/Oct								
2	2-A320	VJ137	HAN-SGN	13:25	15:35	2:10	0:40	12456	31/Mar	26/Oct								
2	2-A320	VJ280	SGN-HPH	16:15	18:15	2:00	0:25	1234567	31/Mar	26/Oct								
2	2-A320	VJ279	HPH-SGN	18:40	20:40	2:00	0:30	1234567	31/Mar	26/Oct								
2	2-A320	VJ176	SGN-HAN	21:10	23:20	2:10	0:30	1234567	31/Mar	26/Oct								
NEW	2-A320	VJ1525	HAN-DAD	23:50	1:10	1:20	0:25	1234567	10/Jun	26/Oct								
NEW	2-A320	VJ1534	DAD-HAN	1:35	2:55	1:20	2:30	1234567	10/Jun	26/Oct								
																		
																		
3	3-A320	VJ600	SGN-CXR	6:40	7:55	1:10	0:25	1234567	31/Mar	26/Oct								
3	3-A320	VJ601	CXR-SGN	8:20	9:25	1:05	0:30	1234567	31/Mar	26/Oct								
